id,mz,rt,annotation
1,NA,669.0999939,
2,NA,667.1472168,
3,NA,687.3255157,Palmitic acid
4,NA,645.7249512,Inositol
5,NA,662.4250061,
6,NA,650.3798828,Tyrosine
7,NA,632.7,Allantoin
8,NA,660.1514526,FAME C16
9,NA,637.4276123,
10,NA,661.4000244,
12,NA,646.9499207,
13,NA,633.7106018,
14,NA,638.5363617,
15,NA,640.3500061,
16,NA,664.7470917,
18,NA,688.5553589,
19,NA,637.6734619,
21,NA,654.7855896,
23,NA,675.7624939,
24,NA,669.8623413,
25,NA,683.1997009,
27,NA,653.3965759,
28,NA,656.5103455,
29,NA,652.0999756,
33,NA,676.7077393,p-Coummaric acid
38,NA,680.5214844,
82,NA,639.2010345,
115,NA,683.196225,
138,NA,679.7215515,
